id (035a which stats with (NATIONALLICENCE)),path to fulltext,end of embargo (YYYY-MM-DD),Institutions,id for SRU (no special characters)
(NATIONALLICENCE)gruyter-10.1515/fabula-2017-0013,fulltexts/gruyter/j/fabula.2017.58.issue-1-2/fabula-2017-0013/fabula-2017-0013.pdf,,National Licences: uzh,gruyter101515fabula20170013
(NATIONALLICENCE)gruyter-10.1515/dmpt-2017-0033,fulltexts/gruyter/j/dmdi.2017.32.issue-4/dmpt-2017-0033/dmpt-2017-0033.pdf,,National Licences: unibas unibe unige unil,gruyter101515dmpt20170033
(NATIONALLICENCE)gruyter-10.1515/icom-2016-0042,fulltexts/gruyter/j/icom.2017.16.issue-1/icom-2016-0042/icom-2016-0042.pdf,,National Licences: uzh,gruyter101515icom20160042
(NATIONALLICENCE)gruyter-10.1515/iral-2017-0007,fulltexts/gruyter/j/iral.2017.55.issue-1/iral-2017-0007/iral-2017-0007.pdf,,National Licences: unifr,gruyter101515iral20170007
(NATIONALLICENCE)gruyter-10.1515/fabula-2017-0036,fulltexts/gruyter/j/fabula.2017.58.issue-3-4/fabula-2017-0036/fabula-2017-0036.pdf,,National Licences: uzh,gruyter101515fabula20170036
(NATIONALLICENCE)gruyter-10.1515/asia-2017-0017,fulltexts/gruyter/j/asia.2017.71.issue-3/asia-2017-0017/asia-2017-0017.pdf,,National Licences: uzh,gruyter101515asia20170017
(NATIONALLICENCE)gruyter-10.1515/hmbci-2017-0023,fulltexts/gruyter/j/hmbci.2017.32.issue-2/hmbci-2017-0023/hmbci-2017-0023.pdf,,National Licences: unil,gruyter101515hmbci20170023
(NATIONALLICENCE)gruyter-10.1515/kant-2017-0030,fulltexts/gruyter/j/kant.2017.108.issue-3/kant-2017-0030/kant-2017-0030.pdf,,National Licences: unibas,gruyter101515kant20170030
(NATIONALLICENCE)gruyter-10.1515/dmpt-2017-0011,fulltexts/gruyter/j/dmdi.2017.32.issue-2/dmpt-2017-0011/dmpt-2017-0011.pdf,,National Licences: unibas unige,gruyter101515dmpt20170011
(NATIONALLICENCE)gruyter-10.1515/zfr-2017-0009,fulltexts/gruyter/j/zfr.2017.25.issue-2/zfr-2017-0009/zfr-2017-0009.pdf,,National Licences: unibe,gruyter101515zfr20170009
(NATIONALLICENCE)gruyter-10.1515/bd-2017-0045,fulltexts/gruyter/j/bd.2017.51.issue-5/bd-2017-0045/bd-2017-0045.pdf,,National Licences: unibe,gruyter101515bd20170045
(NATIONALLICENCE)gruyter-10.1515/jpm-2016-0309,fulltexts/gruyter/j/jpme.2017.45.issue-5/jpm-2016-0309/jpm-2016-0309.pdf,,National Licences: unibas,gruyter101515jpm20160309
(NATIONALLICENCE)gruyter-10.1515/labmed-2017-0127,fulltexts/gruyter/j/labm.2017.41.issue-6/labmed-2017-0127/labmed-2017-0127.pdf,,National Licences: unibe,gruyter101515labmed20170127
(NATIONALLICENCE)gruyter-10.1515/revneuro-2016-0047,fulltexts/gruyter/j/revneuro.2017.28.issue-1/revneuro-2016-0047/revneuro-2016-0047.pdf,,National Licences: uzh,gruyter101515revneuro20160047
(NATIONALLICENCE)gruyter-10.1515/cclm-2016-0374,fulltexts/gruyter/j/cclm.2017.55.issue-2/cclm-2016-0374/cclm-2016-0374.pdf,,National Licences: uzh,gruyter101515cclm20160374
(NATIONALLICENCE)gruyter-10.1515/crelle-2014-0100,fulltexts/gruyter/j/crelle.2017.2017.issue-725/crelle-2014-0100/crelle-2014-0100.pdf,,National Licences: uzh,gruyter101515crelle20140100
(NATIONALLICENCE)gruyter-10.1515/abitech-2017-0003,fulltexts/gruyter/j/abitech.2017.37.issue-1/abitech-2017-0003/abitech-2017-0003.pdf,,National Licences: unisg,gruyter101515abitech20170003
(NATIONALLICENCE)gruyter-10.1515/aot-2017-0040,fulltexts/gruyter/j/aot.2017.6.issue-3-4/aot-2017-0040/aot-2017-0040.pdf,,National Licences: lib4ri,gruyter101515aot20170040
(NATIONALLICENCE)gruyter-10.1515/cclm-2016-1129,fulltexts/gruyter/j/cclm.2017.55.issue-12/cclm-2016-1129/cclm-2016-1129.pdf,,National Licences: uzh,gruyter101515cclm20161129
(NATIONALLICENCE)gruyter-10.1515/ejnm-2017-0002,fulltexts/gruyter/j/ejnm.2017.9.issue-2/ejnm-2017-0002/ejnm-2017-0002.pdf,,National Licences: unibas,gruyter101515ejnm20170002
(NATIONALLICENCE)gruyter-10.1515/zgl-2017-0013,fulltexts/gruyter/j/zfgl.2017.45.issue-2/zgl-2017-0013/zgl-2017-0013.pdf,,National Licences: uzh,gruyter101515zgl20170013
(NATIONALLICENCE)gruyter-10.1515/abitech-2017-0045,fulltexts/gruyter/j/abitech.2017.37.issue-3/abitech-2017-0045/abitech-2017-0045.pdf,,National Licences: unisg,gruyter101515abitech20170045
(NATIONALLICENCE)gruyter-10.1515/bmt-2016-0155,fulltexts/gruyter/j/bmte.2017.62.issue-6/bmt-2016-0155/bmt-2016-0155.pdf,,National Licences: ethz,gruyter101515bmt20160155
(NATIONALLICENCE)gruyter-10.1515/bmt-2017-5101,fulltexts/gruyter/j/bmte.2017.62.issue-s1/bmt-2017-5101/bmt-2017-5101.pdf,,National Licences: lib4ri,gruyter101515bmt20175101
(NATIONALLICENCE)gruyter-10.1515/bmt-2017-5008,fulltexts/gruyter/j/bmte.2017.62.issue-s1/bmt-2017-5008/bmt-2017-5008.pdf,,National Licences: lib4ri,gruyter101515bmt20175008
(NATIONALLICENCE)gruyter-10.1515/rnam-2017-0025,fulltexts/gruyter/j/rnam.2017.32.issue-4/rnam-2017-0025/rnam-2017-0025.pdf,,National Licences: fachhochschulen,gruyter101515rnam20170025
(NATIONALLICENCE)gruyter-10.1515/humor-2015-0036,fulltexts/gruyter/j/humr.2017.30.issue-1/humor-2015-0036/humor-2015-0036.pdf,,National Licences: uzh,gruyter101515humor20150036
(NATIONALLICENCE)gruyter-10.1515/bmt-2015-0165,fulltexts/gruyter/j/bmte.2017.62.issue-3/bmt-2015-0165/bmt-2015-0165.pdf,,National Licences: uzh,gruyter101515bmt20150165
(NATIONALLICENCE)gruyter-10.1515/sagmb-2017-0016,fulltexts/gruyter/j/sagmb.2017.16.issue-5-6/sagmb-2017-0016/sagmb-2017-0016.pdf,,National Licences: epfl,gruyter101515sagmb20170016
(NATIONALLICENCE)gruyter-10.1515/zfal-2017-0011,fulltexts/gruyter/j/zfal.2017.66.issue-1/zfal-2017-0011/zfal-2017-0011.pdf,,National Licences: unine,gruyter101515zfal20170011
(NATIONALLICENCE)gruyter-10.1515/arb-2017-0005,fulltexts/gruyter/j/arbi.2017.35.issue-1/arb-2017-0005/arb-2017-0005.pdf,,National Licences: unibe,gruyter101515arb20170005
(NATIONALLICENCE)gruyter-10.1515/arb-2017-0014,fulltexts/gruyter/j/arbi.2017.35.issue-1/arb-2017-0014/arb-2017-0014.pdf,,National Licences: unibe,gruyter101515arb20170014
(NATIONALLICENCE)gruyter-10.1515/pac-2017-0205,fulltexts/gruyter/j/pac.2017.89.issue-5/pac-2017-0205/pac-2017-0205.pdf,,National Licences: ethz lib4ri unige,gruyter101515pac20170205
(NATIONALLICENCE)gruyter-10.1515/ijsl-2016-0051,fulltexts/gruyter/j/ijsl.2017.2017.issue-243/ijsl-2016-0051/ijsl-2016-0051.pdf,,National Licences: unige,gruyter101515ijsl20160051
(NATIONALLICENCE)gruyter-10.1515/agph-2017-0007,fulltexts/gruyter/j/agph.2017.99.issue-2/agph-2017-0007/agph-2017-0007.pdf,,National Licences: unige,gruyter101515agph20170007
(NATIONALLICENCE)gruyter-10.1515/cog-2016-0089,fulltexts/gruyter/j/cogl.2017.28.issue-4/cog-2016-0089/cog-2016-0089.pdf,,National Licences: unibas unine,gruyter101515cog20160089
(NATIONALLICENCE)gruyter-10.1515/bmt-2015-0205,fulltexts/gruyter/j/bmte.2017.62.issue-1/bmt-2015-0205/bmt-2015-0205.pdf,,National Licences: uzh,gruyter101515bmt20150205
(NATIONALLICENCE)gruyter-10.1515/zfs-2017-0005,fulltexts/gruyter/j/zfsw.2017.36.issue-1/zfs-2017-0005/zfs-2017-0005.pdf,,National Licences: unige,gruyter101515zfs20170005
