Publisher Code,Journal Title,Print ISSN,Electronic ISSN,Publisher,Url,Total Number of articles,First Year in the Licence,First Volume in the Licence,Last Year in the Licence,Last Volume in the Licence
ercl,European Review of Contract Law,1614-9920,1614-9939,Walter de Gruyter GmbH & Co. KG,http://www.degruyter.com/view/j/ercl,344,2005,1,2015,11
erj,Entrepreneurship Research Journal,2194-6175,2157-5665,De Gruyter,http://www.degruyter.com/view/j/erj,97,2011,1,2015,5
etly,European Tort Law Yearbook,2190-7773,2190-7781,De Gruyter,http://www.degruyter.com/view/j/etly,181,2010,,2015,
etst,Etruscan Studies,1080-1960,2163-8217,De Gruyter,http://www.degruyter.com/view/j/etst,288,1994,1,2015,18
eujal,European Journal of Applied Linguistics,2192-9521,2192-953X,De Gruyter Mouton,http://www.degruyter.com/view/j/eujal,34,2013,1,2015,3
ev,The Economists' Voice,2194-6167,1553-3832,De Gruyter,http://www.degruyter.com/view/j/ev,369,2004,1,2015,12
evth,Evangelische Theologie,0014-3502,2198-0470,Gütersloher Verlagshaus,http://www.degruyter.com/view/j/evth,3530,1935,2,2015,75
fabl,Fabula,0014-6242,1316-0464,"Walter de Gruyter, Berlin / New York",http://www.degruyter.com/view/j/fabl,1369,1958,1,2015,56
fhep,Forum for Health Economics & Policy,2194-6191,1558-9544,De Gruyter,http://www.degruyter.com/view/j/fhep,171,1998,1,2015,18
figurationen,Figurationen,1439-4367,2194-363X,Böhlau Verlag GmbH & CIE.,http://www.degruyter.com/view/j/figurationen,449,2000,1,2015,16
flih,Folia Linguistica Historica,0168-647X,1614-7316,De Gruyter Mouton,http://www.degruyter.com/view/j/flih,499,1980,14,2015,47
flin,Folia Linguistica,0165-4004,1614-7308,"Walter de Gruyter, Berlin / New York",http://www.degruyter.com/view/j/flin,1153,1967,1,2015,49
fmst,Frühmittelalterliche Studien,0071-9706,1613-0812,Walter de Gruyter,http://www.degruyter.com/view/j/fmst,1004,1967,1,2015,48
for,The Forum,2194-6183,1540-8884,De Gruyter,http://www.degruyter.com/view/j/for,546,2002,1,2015,13
form,Forum Mathematicum,0933-7741,1435-5337,Walter de Gruyter GmbH & Co. KG,http://www.degruyter.com/view/j/form,1090,1989,1,2015,27
fr,Finanz-Rundschau Ertragsteuerrecht,0940-452X,2194-4156,Verlag Dr. Otto Schmidt,http://www.degruyter.com/view/j/fr,1778,2005,87,2015,97
freq,Frequenz,0016-1136,2191-6349,De Gruyter,http://www.degruyter.com/view/j/freq,4718,1949,3,2015,69
frm,Forum für osteuropäische Ideen -und Zeitgeschichte,1433-4887,2194-3672,Böhlau Verlag GmbH & CIE.,http://www.degruyter.com/view/j/frm,589,1997,1,2013,17
futur,International Yearbook of Futurism Studies,2192-0281,2192-029X,De Gruyter,http://www.degruyter.com/view/j/futur,81,2011,1,2013,3
gcc,Groups – Complexity – Cryptology,1867-1144,1869-6104,Walter de Gruyter GmbH & Co. KG,http://www.degruyter.com/view/j/gcc,97,2009,1,2015,7
gcla,Yearbook of the German Cognitive Linguistics Association,2197-2788,2197-2796,De Gruyter,http://www.degruyter.com/view/j/gcla,30,2013,1,2015,3
gej,Global Economy Journal,2194-5659,1524-5861,De Gruyter,http://www.degruyter.com/view/j/gej,325,2000,1,2015,15
georgejb,George-Jahrbuch,1430-2519,1865-8881,De Gruyter,http://www.degruyter.com/view/j/georgejb,137,2009,7,2014,10
germ,Germanistik,0016-8912,1865-9187,De Gruyter,http://www.degruyter.com/view/j/germ,620,2007,48,2015,56
gesr,GesundheitsRecht,1610-1197,2194-4229,Verlag Dr. Otto Schmidt,http://www.degruyter.com/view/j/gesr,1105,2005,4,2015,14
gik,Geschichte in Köln,0720-3659,2198-0667,Böhlau Verlag,http://www.degruyter.com/view/j/gik,1370,1978,1,2015,62
gj,Global Jurist,2194-5675,1934-2640,De Gruyter,http://www.degruyter.com/view/j/gj,297,2001,1,2015,15
glot,Glottotheory,1337-7892,2196-6907,De Gruyter Akademie Forschung,http://www.degruyter.com/view/j/glot,114,2008,1,2015,6
gmj,Georgian Mathematical Journal,1072-947X,1072-9176,Walter de Gruyter GmbH & Co. KG,http://www.degruyter.com/view/j/gmj,1130,1994,1,2015,22
gpr,Zeitschrift für Gemeinschaftsprivatrecht,1612-9229,2193-9519,sellier european law publishers,http://www.degruyter.com/view/j/gpr,1150,2003,1,2015,12
gps,Green Processing and Synthesis,2191-9542,2191-9550,De Gruyter,http://www.degruyter.com/view/j/gps,336,2012,1,2015,4
green,Green,1869-876X,1869-8778,De Gruyter,http://www.degruyter.com/view/j/green,113,2011,1,2015,5
ha,Historische Anthropologie,0942-8704,2194-4032,Böhlau Verlag GmbH & CIE.,http://www.degruyter.com/view/j/ha,1061,1993,1,2015,23
hc,Heterocyclic Communications,0793-0283,2191-0197,De Gruyter,http://www.degruyter.com/view/j/hc,1754,1994,1,2015,21
helia,HELIA,1018-1806,2197-0483,De Gruyter,http://www.degruyter.com/view/j/helia,515,2000,23,2015,38
