publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
Der Onkologe	0947-8965	1433-0415	2005	11	1	2015			http://link.springer.com/journal/761		761		fulltext		Springer Medizin	Serial							
Der Ophthalmologe	0941-293X	1433-0423	2005	102	1	2015			http://link.springer.com/journal/347		347		fulltext		Springer Medizin	Serial							
Der Orthopäde	0085-4530	1433-0431	2005	34	1	2015			http://link.springer.com/journal/132		132		fulltext		Springer Medizin	Serial							
Der Pathologe	0172-8113	1432-1963	2005	26	1	2015			http://link.springer.com/journal/292		292		fulltext		Springer Medizin	Serial							
Der Pneumologe	1613-5636	1613-6055	2005	2	1	2015			http://link.springer.com/journal/10405		10405		fulltext		Springer Medizin	Serial							
Der Radiologe	0033-832X	1432-2102	2005	45	1	2015			http://link.springer.com/journal/117		117		fulltext		Springer Medizin	Serial							
Der Schmerz	0932-433X	1432-2129	2005	19	1	2015			http://link.springer.com/journal/482		482		fulltext		Springer Medizin	Serial							
Der Unfallchirurg	0177-5537	1433-044X	2005	108	1	2015			http://link.springer.com/journal/113		113		fulltext		Springer Medizin	Serial							
Der Urologe	0340-2592	1433-0563	2005	44	1	2015			http://link.springer.com/journal/120		120		fulltext		Springer Medizin	Serial							
Design Automation for Embedded Systems	0929-5585	1572-8080	1996	1	1	2015			http://link.springer.com/journal/10617		10617		fulltext		Springer US	Serial							
Designs, Codes and Cryptography	0925-1022	1573-7586	1991	1	1	2015			http://link.springer.com/journal/10623		10623		fulltext		Springer US	Serial							
Development Genes and Evolution	0949-944X	1432-041X	1894	1	1	2015			http://link.springer.com/journal/427		427		fulltext		Springer Berlin Heidelberg	Serial							
Diabetologia	0012-186X	1432-0428	1965	1	1	2015			http://link.springer.com/journal/125		125		fulltext		Springer Berlin Heidelberg	Serial							
Dialectical Anthropology	0304-4092	1573-0786	1975	1	1	2015			http://link.springer.com/journal/10624		10624		fulltext		Springer Netherlands	Serial							
Digestive Diseases and Sciences	0163-2116	1573-2568	1979	24	1	2015			http://link.springer.com/journal/10620		10620		fulltext		Springer US	Serial							
American Journal of Digestive Diseases	0002-9211		1956	1	1	1978	23	12	http://link.springer.com/journal/10620		10620		fulltext		Springer US	Serial							
Discrete & Computational Geometry	0179-5376	1432-0444	1986	1	1	2015			http://link.springer.com/journal/454		454		fulltext		Springer US	Serial							
Discrete Event Dynamic Systems	0924-6703	1573-7594	1991	1	1	2015			http://link.springer.com/journal/10626		10626		fulltext		Springer US	Serial							
Distributed Computing	0178-2770	1432-0452	1986	1	1	2015			http://link.springer.com/journal/446		446		fulltext		Springer Berlin Heidelberg	Serial							
Distributed and Parallel Databases	0926-8782	1573-7578	1993	1	1	2015			http://link.springer.com/journal/10619		10619		fulltext		Springer US	Serial							
Documenta Ophthalmologica	0012-4486	1573-2622	1938	1	1	2015			http://link.springer.com/journal/10633		10633		fulltext		Springer Berlin Heidelberg	Serial							
Doklady Chemistry	0012-5008	1608-3113	2005	400	1	2015			http://link.springer.com/journal/10631		10631		fulltext		Pleiades Publishing	Serial							
Doklady Earth Sciences	1028-334X	1531-8354	2006	406	1	2015			http://link.springer.com/journal/11471		11471		fulltext		Pleiades Publishing	Serial							
Doklady Mathematics	1064-5624	1531-8362	2006	73	1	2015			http://link.springer.com/journal/11472		11472		fulltext		Pleiades Publishing	Serial							
Doklady Physics	1028-3358	1562-6903	2005	50	1	2015			http://link.springer.com/journal/11446		11446		fulltext		Pleiades Publishing	Serial							
Drug Delivery and Translational Research	2190-393X	2190-3948	2011	1	1	2015			http://link.springer.com/journal/13346		13346		fulltext		Springer US	Serial							
Dublin Journal of Medical Science (1836-1845)	0790-231X		1836	9	1	1845	28	2	http://link.springer.com/journal/12627		12627		fulltext		Springer London	Serial							
Dublin Journal of Medical Science (1872-1920)		0790-231X	1872	53	1	1920	149	2	http://link.springer.com/journal/40772		40772		fulltext		Springer London	Serial							
Dublin Journal of Medical Science (1920-1922)		0790-231X	1920	1	1	1922	3	2	http://link.springer.com/journal/40773		40773		fulltext		Springer London	Serial							
Dublin Quarterly Journal of Medical Science	0790-2328		1846	1	1	1871	52	2	http://link.springer.com/journal/12628		12628		fulltext		Springer London	Serial							
Dynamics and Control	0925-4668	1573-8450	1991	1	1	1996		4	http://link.springer.com/journal/10638		10638		fulltext		Kluwer Academic Publishers	Serial							
Dysphagia	0179-051X	1432-0460	1986	1	1	2015			http://link.springer.com/journal/455		455		fulltext		Springer US	Serial							
ERA Forum	1612-3093	1863-9038	2005	6	1	2015			http://link.springer.com/journal/12027		12027		fulltext		Springer Berlin Heidelberg	Serial							
Early Childhood Education Journal	1082-3301	1573-1707	1973	1	1	2015			http://link.springer.com/journal/10643		10643		fulltext		Springer Netherlands	Serial							
Earth, Moon, and Planets	0167-9295	1573-0794	1969	1	1	2015			http://link.springer.com/journal/11038		11038		fulltext		Springer Netherlands	Serial							
East Asia	1096-6838	1874-6284	2005	22	1	2015			http://link.springer.com/journal/12140		12140		fulltext		Springer Netherlands	Serial							
EcoHealth	1612-9202	1612-9210	2005	2	1	2015			http://link.springer.com/journal/10393		10393		fulltext		Springer US	Serial							
Ecological Research	0912-3814	1440-1703	1986	1	1	2013			http://link.springer.com/journal/11284		11284		fulltext		Springer Japan	Serial							
Economic Botany	0013-0001	1874-9364	1947	1	1	2015			http://link.springer.com/journal/12231		12231		fulltext		Springer US	Serial							
Economic Bulletin	0343-754X	1438-261X	1974	11	1	1996		12	http://link.springer.com/journal/10160		10160		fulltext		Springer-Verlag	Serial							
Economic Change and Restructuring	1573-9414	1574-0277	1961	1	1	2015			http://link.springer.com/journal/10644		10644		fulltext		Springer US	Serial							
Economic Theory	0938-2259	1432-0479	1991	1	1	2015			http://link.springer.com/journal/199		199		fulltext		Springer Berlin Heidelberg	Serial							
Economics of Governance	1435-6104	1435-8131	2005	6	1	2015			http://link.springer.com/journal/10101		10101		fulltext		Springer Berlin Heidelberg	Serial							
Ecosystems	1432-9840	1435-0629	2005	8	1	2015			http://link.springer.com/journal/10021		10021		fulltext		Springer US	Serial							
Ecotoxicology	0963-9292	1573-3017	1992	1	1	2015			http://link.springer.com/journal/10646		10646		fulltext		Springer US	Serial							
Education and Information Technologies	1360-2357	1573-7608	1996	1	1	2015			http://link.springer.com/journal/10639		10639		fulltext		Springer US	Serial							
Educational Assessment, Evaluation and Accountability	1874-8597	1874-8600	1987	1	1	2003			http://link.springer.com/journal/11092		11092		fulltext		Springer Netherlands	Serial							
Educational Psychology Review	1040-726X	1573-336X	1989	1	1	2015			http://link.springer.com/journal/10648		10648		fulltext		Springer US	Serial							
Educational Research for Policy and Practice	1570-2081	1573-1723	2005	4	1	2015			http://link.springer.com/journal/10671		10671		fulltext		Springer Netherlands	Serial							
Educational Studies in Mathematics	0013-1954	1573-0816	1968	1	1	2015			http://link.springer.com/journal/10649		10649		fulltext		Springer Netherlands	Serial							
Educational Technology Research and Development	1042-1629	1556-6501	1953	1	2	2015			http://link.springer.com/journal/11423		11423		fulltext		Springer US	Serial							
Electrical Engineering	0948-7921	1432-0487	1912	1	1	2015			http://link.springer.com/journal/202		202		fulltext		Springer Berlin Heidelberg	Serial							
Electronic Commerce Research	1389-5753	1572-9362	2005	5	1	2015			http://link.springer.com/journal/10660		10660		fulltext		Springer US	Serial							
Electronic Markets	1019-6781	1422-8890	2009	19	1	2015			http://link.springer.com/journal/12525		12525		fulltext		Springer Berlin Heidelberg	Serial							
Emergency Radiology	1070-3004	1438-1435	1994	1	1	2015			http://link.springer.com/journal/10140		10140		fulltext		Springer Berlin Heidelberg	Serial							
Empirica	0340-8744	1573-6911	1974	1	1	2015			http://link.springer.com/journal/10663		10663		fulltext		Springer US	Serial							
Empirical Economics	0377-7332	1435-8921	1976	1	1	2015			http://link.springer.com/journal/181		181		fulltext		Springer Berlin Heidelberg	Serial							
Empirical Software Engineering	1382-3256	1573-7616	1996	1	2	2015			http://link.springer.com/journal/10664		10664		fulltext		Springer US	Serial							
Employee Responsibilities and Rights Journal	0892-7545	1573-3378	1988	1	1	2015			http://link.springer.com/journal/10672		10672		fulltext		Springer US	Serial							
Endocrine	1355-008X	1559-0100	1995	3	1	2015			http://link.springer.com/journal/12020		12020		fulltext		Springer US	Serial							
Endocrine Pathology	1046-3976	1559-0097	1990	1	1	2015			http://link.springer.com/journal/12022		12022		fulltext		Springer US	Serial							
Energy Efficiency	1570-646X	1570-6478	2008	1	1	2015			http://link.springer.com/journal/12053		12053		fulltext		Springer Netherlands	Serial							
Engineering with Computers	0177-0667	1435-5663	1985	1	1	2015			http://link.springer.com/journal/366		366		fulltext		Springer London	Serial							
Entomological Review	0013-8738	1555-6689	2006	86	1	2015			http://link.springer.com/journal/11474		11474		fulltext		Pleiades Publishing	Serial							
Environment Systems and Decisions	2194-5403	2194-5411	1981	1	1	2015			http://link.springer.com/journal/10669		10669		fulltext		Springer US	Serial							
Environmental Biology of Fishes	0378-1909	1573-5133	1976	1	1	2015			http://link.springer.com/journal/10641		10641		fulltext		Springer Netherlands	Serial							
Environmental Chemistry Letters	1610-3653	1610-3661	2005	2	4	2015			http://link.springer.com/journal/10311		10311		fulltext		Springer International Publishing	Serial							
Environmental Earth Sciences	1866-6280	1866-6299	2009	59	2	2015			http://link.springer.com/journal/12665		12665		fulltext		Springer Berlin Heidelberg	Serial							
Environmental Economics and Policy Studies	1432-847X	1867-383X	2005	7	1	2015			http://link.springer.com/journal/10018		10018		fulltext		Springer Japan	Serial							
Environmental Fluid Mechanics	1567-7419	1573-1510	2005	4	4	2015			http://link.springer.com/journal/10652		10652		fulltext		Springer Netherlands	Serial							
Environmental Geochemistry and Health	0269-4042	1573-2983	1979	1	1	2015			http://link.springer.com/journal/10653		10653		fulltext		Springer Netherlands	Serial							
Environmental Geology	0943-0105	1432-0495	1975	1	1	1996		8	http://link.springer.com/journal/254		254		fulltext		Springer Berlin Heidelberg	Serial							
Environmental Health and Preventive Medicine	1342-078X	1347-4715	2005	10	1	2011	16	6	http://link.springer.com/journal/12199		12199		fulltext		BioMed Central	Serial							
Environmental Management	0364-152X	1432-1009	1977	1	1	2015			http://link.springer.com/journal/267		267		fulltext		Springer US	Serial							
Environmental Modeling & Assessment	1420-2026	1573-2967	1996	1	1	2015			http://link.springer.com/journal/10666		10666		fulltext		Springer International Publishing	Serial							
Environmental Monitoring and Assessment	0167-6369	1573-2959	1981	1	1	2015			http://link.springer.com/journal/10661		10661		fulltext		Springer International Publishing	Serial							
Environmental Science and Pollution Research	0944-1344	1614-7499	1994	1	1	2015			http://link.springer.com/journal/11356		11356		fulltext		Springer Berlin Heidelberg	Serial							
Environmental and Ecological Statistics	1352-8505	1573-3009	1994	1	1	2015			http://link.springer.com/journal/10651		10651		fulltext		Springer US	Serial							
Environmental and Resource Economics	0924-6460	1573-1502	1991	1	1	2015			http://link.springer.com/journal/10640		10640		fulltext		Springer Netherlands	Serial							
Erkenntnis	0165-0106	1572-8420	1930	1	1	2015			http://link.springer.com/journal/10670		10670		fulltext		Springer Netherlands	Serial							
Erwerbs-Obstbau	0014-0309	1439-0302	2005	47	1	2015			http://link.springer.com/journal/10341		10341		fulltext		Springer Berlin Heidelberg	Serial							
Esophagus	1612-9059	1612-9067	2005	2	1	2015			http://link.springer.com/journal/10388		10388		fulltext		Springer Japan	Serial							
Estuaries and Coasts	1559-2723	1559-2731	1978	1	1	2004	27	6	http://link.springer.com/journal/12237		12237		fulltext		Springer US	Serial							
Ethical Theory and Moral Practice	1386-2820	1572-8447	2005	7	5	2015			http://link.springer.com/journal/10677		10677		fulltext		Springer Netherlands	Serial							
Ethics and Information Technology	1388-1957	1572-8439	2005	7	1	2015			http://link.springer.com/journal/10676		10676		fulltext		Springer Netherlands	Serial							
Ethik in der Medizin	0935-7335	1437-1618	2005	17	1	2015			http://link.springer.com/journal/481		481		fulltext		Springer Berlin Heidelberg	Serial							
Euphytica	0014-2336	1573-5060	1952	1	1	2015			http://link.springer.com/journal/10681		10681		fulltext		Springer Netherlands	Serial							
Eurasian Soil Science	1064-2293	1556-195X	2006	39	1	2015			http://link.springer.com/journal/11475		11475		fulltext		Pleiades Publishing	Serial							
European Actuarial Journal	2190-9733	2190-9741	2011	1	1	2015			http://link.springer.com/journal/13385		13385		fulltext		Springer Berlin Heidelberg	Serial							
European Archives of Oto-Rhino-Laryngology	0937-4477	1434-4726	1864	1	1	2015			http://link.springer.com/journal/405		405		fulltext		Springer Berlin Heidelberg	Serial							
European Archives of Psychiatry and Clinical Neuroscience	0940-1334	1433-8491	1868	1	1	2015			http://link.springer.com/journal/406		406		fulltext		Springer Berlin Heidelberg	Serial							
European Biophysics Journal	0175-7571	1432-1017	1974	1	1	2015			http://link.springer.com/journal/249		249		fulltext		Springer International Publishing	Serial							
European Business Organization Law Review	1566-7529	1741-6205	2005	6	1	2015			http://link.springer.com/journal/40804		40804		fulltext		Springer International Publishing	Serial							
European Child & Adolescent Psychiatry	1018-8827	1435-165X	1992	1	1	2015			http://link.springer.com/journal/787		787		fulltext		Springer Berlin Heidelberg	Serial							
European Demographic Information Bulletin	0046-2756		1970	1	1	1983	14	4	http://link.springer.com/journal/12365		12365		fulltext		Springer Netherlands	Serial							
European Food Research and Technology	1438-2377	1438-2385	1898	1	1	2015			http://link.springer.com/journal/217		217		fulltext		Springer Berlin Heidelberg	Serial							
European Journal for Philosophy of Science	1879-4912	1879-4920	2011	1	1	2015			http://link.springer.com/journal/13194		13194		fulltext		Springer Netherlands	Serial							
European Journal of Ageing	1613-9372	1613-9380	2005	2	1	2015			http://link.springer.com/journal/10433		10433		fulltext		Springer Netherlands	Serial							
European Journal of Applied Physiology	1439-6319	1439-6327	1928	1	1	2015			http://link.springer.com/journal/421		421		fulltext		Springer Berlin Heidelberg	Serial							
European Journal of Clinical Microbiology & Infectious Diseases	0934-9723	1435-4373	1982	1	1	2015			http://link.springer.com/journal/10096		10096		fulltext		Springer Berlin Heidelberg	Serial							
European Journal of Clinical Pharmacology	0031-6970	1432-1041	1968	1	1	2015			http://link.springer.com/journal/228		228		fulltext		Springer Berlin Heidelberg	Serial							
European Journal of Drug Metabolism and Pharmacokinetics	0378-7966	2107-0180	1976	1	1	2013			http://link.springer.com/journal/13318		13318		fulltext		Springer International Publishing	Serial							
European Journal of Epidemiology	0393-2990	1573-7284	1985	1	1	2015			http://link.springer.com/journal/10654		10654		fulltext		Springer Netherlands	Serial							
European Journal of Forest Research	1612-4669	1612-4677	1857	1	1	2015			http://link.springer.com/journal/10342		10342		fulltext		Springer Berlin Heidelberg	Serial							
European Journal of Law and Economics	0929-1261	1572-9990	1994	1	1	2015			http://link.springer.com/journal/10657		10657		fulltext		Springer US	Serial							
European Journal of Nuclear Medicine and Molecular Imaging	1619-7070	1619-7089	1976	1	1	2015			http://link.springer.com/journal/259		259		fulltext		Springer Berlin Heidelberg	Serial							
European Journal of Nutrition	1436-6207	1436-6215	1960	1	1	2015			http://link.springer.com/journal/394		394		fulltext		Springer Berlin Heidelberg	Serial							
European Journal of Orthopaedic Surgery & Traumatology	1633-8065	1432-1068	1991	1	1	2015			http://link.springer.com/journal/590		590		fulltext		Springer Paris	Serial							
European Journal of Pediatrics	0340-6199	1432-1076	1911	1	1	2015			http://link.springer.com/journal/431		431		fulltext		Springer Berlin Heidelberg	Serial							
European Journal of Plant Pathology	0929-1873	1573-8469	1895	1	1	2015			http://link.springer.com/journal/10658		10658		fulltext		Springer Netherlands	Serial							
European Journal of Plastic Surgery	0930-343X	1435-0130	1971	1	1	2015			http://link.springer.com/journal/238		238		fulltext		Springer Berlin Heidelberg	Serial							
European Journal of Population	0168-6577	1572-9885	1985	1	1	2015			http://link.springer.com/journal/10680		10680		fulltext		Springer Netherlands	Serial							
European Journal of Psychology of Education	0256-2928	1878-5174	1986	1	1	2015			http://link.springer.com/journal/10212		10212		fulltext		Springer Netherlands	Serial							
European Journal of Trauma and Emergency Surgery	1863-9933	1863-9941	1975	1	1	2015			http://link.springer.com/journal/68		68		fulltext		Springer Berlin Heidelberg	Serial							
European Journal of Wildlife Research	1612-4642	1439-0574	1955	1	1	2015			http://link.springer.com/journal/10344		10344		fulltext		Springer Berlin Heidelberg	Serial							
European Journal of Wood and Wood Products	0018-3768	1436-736X	1937	1	1	2015			http://link.springer.com/journal/107		107		fulltext		Springer Berlin Heidelberg	Serial							
European Journal on Criminal Policy and Research	0928-1371	1572-9869	1993	1	1	2015			http://link.springer.com/journal/10610		10610		fulltext		Springer Netherlands	Serial							
European Radiology	0938-7994	1432-1084	1991	1	1	2015			http://link.springer.com/journal/330		330		fulltext		Springer Berlin Heidelberg	Serial							
European Radiology Supplements	1613-3749	1613-3757	2004	14	1	2008	18	5	http://link.springer.com/journal/10406		10406		fulltext		Springer-Verlag	Serial							
European Spine Journal	0940-6719	1432-0932	1992	1	1	2015			http://link.springer.com/journal/586		586		fulltext		Springer Berlin Heidelberg	Serial							
European Surgery	1682-8631	1682-4016	1969	1	1	2015			http://link.springer.com/journal/10353		10353		fulltext		Springer Vienna	Serial							
Evolutionary Biology	0071-3260	1934-2845	2007	34	1	2015			http://link.springer.com/journal/11692		11692		fulltext		Springer US	Serial							
Evolutionary Ecology	0269-7653	1573-8477	1987	1	1	2015			http://link.springer.com/journal/10682		10682		fulltext		Springer International Publishing	Serial							
Evolutionary Intelligence	1864-5909	1864-5917	2008	1	1	2015			http://link.springer.com/journal/12065		12065		fulltext		Springer Berlin Heidelberg	Serial							
Experimental Astronomy	0922-6435	1572-9508	1989	1	1	2015			http://link.springer.com/journal/10686		10686		fulltext		Springer Netherlands	Serial							
Experimental Brain Research	0014-4819	1432-1106	1966	1	2	2015			http://link.springer.com/journal/221		221		fulltext		Springer Berlin Heidelberg	Serial							
Experimental Economics	1386-4157	1573-6938	2005	8	1	2015			http://link.springer.com/journal/10683		10683		fulltext		Springer US	Serial							
Experimental Mechanics	0014-4851	1741-2765	1961	1	1	2015			http://link.springer.com/journal/11340		11340		fulltext		Springer US	Serial							
Experimental and Applied Acarology	0168-8162	1572-9702	1985	1	1	2015			http://link.springer.com/journal/10493		10493		fulltext		Springer International Publishing	Serial							
Experiments in Fluids	0723-4864	1432-1114	1983	1	1	2015			http://link.springer.com/journal/348		348		fulltext		Springer Berlin Heidelberg	Serial							
Exposure and Health	2451-9766	2451-9685	2009	1	1	2015			http://link.springer.com/journal/12403		12403		fulltext		Springer Netherlands	Serial							
Extremes	1386-1999	1572-915X	2005	7	1	2015			http://link.springer.com/journal/10687		10687		fulltext		Springer US	Serial							
Extremophiles	1431-0651	1433-4909	2005	9	1	2015			http://link.springer.com/journal/792		792		fulltext		Springer Japan	Serial							
Facies	0172-9179	1612-4820	1979	1	1	2015			http://link.springer.com/journal/10347		10347		fulltext		Springer Berlin Heidelberg	Serial							
Familial Cancer	1389-9600	1573-7292	2005	4	1	2015			http://link.springer.com/journal/10689		10689		fulltext		Springer Netherlands	Serial							
Feminist Legal Studies	0966-3622	1572-8455	1993	1	1	2015			http://link.springer.com/journal/10691		10691		fulltext		Springer Netherlands	Serial							
Few-Body Systems	0177-7963	1432-5411	1986	1	1	2015			http://link.springer.com/journal/601		601		fulltext		Springer Vienna	Serial							
Fibers and Polymers	1229-9197	1875-0052	2005	6	1	2015			http://link.springer.com/journal/12221		12221		fulltext		The Korean Fiber Society	Serial							
Fibre Chemistry	0015-0541	1573-8493	1969	1	1	2015			http://link.springer.com/journal/10692		10692		fulltext		Springer US	Serial							
Finance and Stochastics	0949-2984	1432-1122	2005	9	1	2015			http://link.springer.com/journal/780		780		fulltext		Springer Berlin Heidelberg	Serial							
Financial Markets and Portfolio Management	1934-4554	2373-8529	2005	19	1	2015			http://link.springer.com/journal/11408		11408		fulltext		Springer US	Serial							
Fire Technology	0015-2684	1572-8099	1965	1	1	2015			http://link.springer.com/journal/10694		10694		fulltext		Springer US	Serial							
Fish Physiology and Biochemistry	0920-1742	1573-5168	1986	1	1	2015			http://link.springer.com/journal/10695		10695		fulltext		Springer Netherlands	Serial							
Flexible Services and Manufacturing Journal	1936-6582	1936-6590	1988	1	1	2015			http://link.springer.com/journal/10696		10696		fulltext		Springer US	Serial							
Flow, Turbulence and Combustion	1386-6184	1573-1987	1998	60	1	2015			http://link.springer.com/journal/10494		10494		fulltext		Springer Netherlands	Serial							
Applied Scientific Research		0003-6994	1966	16	1	1997	59	4	http://link.springer.com/journal/10494		10494		fulltext		Springer Netherlands	Serial							
Applied Scientific Research Section A	0365-7132		1949	1	1	1966	15	1	http://link.springer.com/journal/10494		10494		fulltext		Springer Netherlands	Serial							
Fluid Dynamics	0015-4628	1573-8507	1966	1	1	2015			http://link.springer.com/journal/10697		10697		fulltext		Pleiades Publishing	Serial							
Folia Geobotanica	1211-9520	1874-9348	1966	1	1	2015			http://link.springer.com/journal/12224		12224		fulltext		Springer Netherlands	Serial							
Folia Microbiologica	0015-5632	1874-9356	1956	1	1	2015			http://link.springer.com/journal/12223		12223		fulltext		Springer Netherlands	Serial							
Food Analytical Methods	1936-9751	1936-976X	2007	1	1	2015			http://link.springer.com/journal/12161		12161		fulltext		Springer US	Serial							
Food Biophysics	1557-1858	1557-1866	2006	1	1	2015			http://link.springer.com/journal/11483		11483		fulltext		Springer US	Serial							
Food Engineering Reviews	1866-7910	1866-7929	2009	1	1	2015			http://link.springer.com/journal/12393		12393		fulltext		Springer US	Serial							
Food Science and Biotechnology	1226-7708	2092-6456	2010	19	1	2015			http://link.springer.com/journal/10068		10068		fulltext		The Korean Society of Food Science and Technology	Serial							
Food Security	1876-4517	1876-4525	2009	1	1	2015			http://link.springer.com/journal/12571		12571		fulltext		Springer Netherlands	Serial							
Food and Bioprocess Technology	1935-5130	1935-5149	2007	1	3	2015			http://link.springer.com/journal/11947		11947		fulltext		Springer US	Serial							
Food and Environmental Virology	1867-0334	1867-0342	2008	1	1	2015			http://link.springer.com/journal/12560		12560		fulltext		Springer US	Serial							
Forensic Science, Medicine and Pathology	1547-769X	1556-2891	2005	1	1	2015			http://link.springer.com/journal/12024		12024		fulltext		Springer US	Serial							
Forensic Toxicology	1860-8965	1860-8973	2006	24	1	2015			http://link.springer.com/journal/11419		11419		fulltext		Springer Japan	Serial							
Forensische Psychiatrie, Psychologie, Kriminologie	1862-7072	1862-7080	2007	1	2	2015			http://link.springer.com/journal/11757		11757		fulltext		Springer Berlin Heidelberg	Serial							
Formal Aspects of Computing	0934-5043	1433-299X	1989	1	1	2015			http://link.springer.com/journal/165		165		fulltext		Springer London	Serial							
Formal Methods in System Design	0925-9856	1572-8102	1992	1	1	2015			http://link.springer.com/journal/10703		10703		fulltext		Springer US	Serial							
Forschung im Ingenieurwesen	0015-7899	1434-0860	1930	1	1	2015			http://link.springer.com/journal/10010		10010		fulltext		Springer Berlin Heidelberg	Serial							
Fortschrittsberichte über Kolloide und Polymere	0071-8017		1971	55	1	1971	55	1	http://link.springer.com/journal/12277		12277		fulltext		Springer-Verlag	Serial							
Kolloid-Beihefte	0071-8017		1931	34	1	1943	54	12	http://link.springer.com/journal/12277		12277		fulltext		Springer-Verlag	Serial							
Kolloidchemische Beihefte	0071-8017		1909	1	1	1931	33	12	http://link.springer.com/journal/12277		12277		fulltext		Springer-Verlag	Serial							
Forum der Psychoanalyse	0178-7667	1437-0751	2005	21	1	2015			http://link.springer.com/journal/451		451		fulltext		Springer Medizin	Serial							
Foundations of Chemistry	1386-4238	1572-8463	2005	7	1	2015			http://link.springer.com/journal/10698		10698		fulltext		Springer Netherlands	Serial							
Foundations of Computational Mathematics	1615-3375	1615-3383	2005	5	1	2015			http://link.springer.com/journal/10208		10208		fulltext		Springer US	Serial							
Foundations of Physics	0015-9018	1572-9516	1970	1	1	2015			http://link.springer.com/journal/10701		10701		fulltext		Springer US	Serial							
Foundations of Physics Letters	0894-9875	1572-9524	1988	1	1	1996		7	http://link.springer.com/journal/10702		10702		fulltext		Kluwer Academic Publishers-Plenum Publishers	Serial							
Foundations of Science	1233-1821	1572-8471	2005	10	1	2015			http://link.springer.com/journal/10699		10699		fulltext		Springer Netherlands	Serial							
Frontiers in Biology	1674-7984	1674-7992	2010	5	1	2015			http://link.springer.com/journal/11515		11515		fulltext		Higher Education Press	Serial							
Frontiers of Biology in China 	1673-3509	1673-3622	2006	1	1	2014			http://link.springer.com/journal/11515		11515		fulltext		Higher Education Press	Serial							
Frontiers in Energy	2095-1701	2095-1698	2011	5	1	2015			http://link.springer.com/journal/11708		11708		fulltext		Higher Education Press	Serial							
Frontiers of Energy and Power Engineering in China	1673-7393	1673-7504	2007	1	1	2015			http://link.springer.com/journal/11708		11708		fulltext		Higher Education Press	Serial							
Frontiers of Chemical Science and Engineering	2095-0179	2095-0187	2011	5	1	2015			http://link.springer.com/journal/11705		11705		fulltext		Higher Education Press	Serial							
Frontiers of Chemical Engineering in China	1673-7369	1673-7474	2007	1	1	2015			http://link.springer.com/journal/11705		11705		fulltext		Higher Education Press	Serial							
Frontiers of Computer Science	2095-2228	2095-2236	2012	6	1	2015			http://link.springer.com/journal/11704		11704		fulltext		Higher Education Press	Serial							
Frontiers of Computer Science in China	1673-7350	1673-7466	2007	1	1	2015			http://link.springer.com/journal/11704		11704		fulltext		Higher Education Press	Serial							
Frontiers of Earth Science	2095-0195	2095-0209	2011	5	1	2015			http://link.springer.com/journal/11707		11707		fulltext		Higher Education Press	Serial							
Frontiers of Earth Science in China	1673-7385	1673-7490	2007	1	1	2015			http://link.springer.com/journal/11707		11707		fulltext		Higher Education Press	Serial							
Frontiers of Environmental Science & Engineering	2095-2201	2095-221X	2012	6	1	2015			http://link.springer.com/journal/11783		11783		fulltext		Higher Education Press	Serial							
Frontiers of Environmental Science & Engineering in China	1673-7415	1673-7520	2007	1	1	2015			http://link.springer.com/journal/11783		11783		fulltext		Higher Education Press	Serial							
Journal of Zhejiang University SCIENCE C	1869-1951	1869-196X	2010	11	1	2015			http://link.springer.com/journal/11714		11714		fulltext		Zhejiang University Press	Serial							
Frontiers of Materials Science	2095-025X	2095-0268	2011	5	1	2015			http://link.springer.com/journal/11706		11706		fulltext		Higher Education Press	Serial							
Frontiers of materials science in China	1673-7377	1673-7482	2007	1	1	2010	4	4	http://link.springer.com/journal/11706		11706		fulltext		Higher Education Press	Serial							
Frontiers of Mathematics in China	1673-3452	1673-3576	2006	1	1	2015			http://link.springer.com/journal/11464		11464		fulltext		Higher Education Press	Serial							
Frontiers of Mechanical Engineering	2095-0233	2095-0241	2011	6	1	2015			http://link.springer.com/journal/11465		11465		fulltext		Higher Education Press	Serial							
Frontiers of Mechanical Engineering in China	1673-3479	1673-3592	2006	1	1	2015			http://link.springer.com/journal/11465		11465		fulltext		Higher Education Press	Serial							
Frontiers of Medicine	2095-0217	2095-0225	2011	5	1	2015			http://link.springer.com/journal/11684		11684		fulltext		Higher Education Press	Serial							
Frontiers of Medicine in China	1673-7342	1673-7458	2007	1	1	2010	4	4	http://link.springer.com/journal/11684		11684		fulltext		Higher Education Press	Serial							
Frontiers of Optoelectronics	2095-2759	2095-2767	2012	5	1	2015			http://link.springer.com/journal/12200		12200		fulltext		Higher Education Press	Serial							
Frontiers of Optoelectronics in China	1674-4128	1674-4594	2008	1	1	2015			http://link.springer.com/journal/12200		12200		fulltext		Higher Education Press	Serial							
Frontiers of Physics	2095-0462	2095-0470	2011	6	1	2015			http://link.springer.com/journal/11467		11467		fulltext		Higher Education Press	Serial							
Frontiers of Physics in China	1673-3487	1673-3606	2006	1	1	2015			http://link.springer.com/journal/11467		11467		fulltext		Higher Education Press	Serial							
